segment_dimension,segment_value,n,diagnosis_rate,mean_delay,median_delay
insurance_type,medicaid,6216,0.24806949806949807,11.370889639639639,8.1
insurance_type,other,963,0.2793354101765317,11.715784008307372,8.85
insurance_type,private,6499,0.2926604092937375,11.526473303585167,8.5
insurance_type,uninsured,1322,0.1777609682299546,9.888350983358547,6.45
chd_severity,Complex,6202,0.3831022250886811,8.050233795549824,5.75
chd_severity,Moderate,887,0.2762119503945885,10.93229988726043,7.2
chd_severity,Simple,7911,0.16774111995955,13.945417772721527,10.75
age_band,0-2,405,0.26666666666666666,12.000864197530865,8.5
age_band,13+,4891,0.24800654262931915,11.32134532815375,8.1
age_band,3-5,3846,0.26443057722308894,11.21801872074883,8.15
age_band,6-12,5858,0.27483782861044725,11.363801638784567,8.35
cohort_era,2017-2020,6120,0.2679738562091503,11.408006535947713,8.25
cohort_era,2021+,8880,0.2599099099099099,11.275867117117118,8.15
svi_tertile,T1_lowest_SVI,5000,0.3118,11.848419999999999,8.8
svi_tertile,T2_mid_SVI,5000,0.255,11.40932,8.25
svi_tertile,T3_highest_SVI,5000,0.2228,10.7316,7.55
insurance_x_severity,medicaid | Complex,2592,0.36882716049382713,8.080227623456791,5.5
insurance_x_severity,medicaid | Moderate,349,0.2349570200573066,11.344412607449856,7.5
insurance_x_severity,medicaid | Simple,3275,0.15389312977099237,13.97810687022901,10.55
insurance_x_severity,other | Complex,389,0.37532133676092544,7.966452442159382,5.4
insurance_x_severity,other | Moderate,61,0.19672131147540983,10.609836065573772,6.2
insurance_x_severity,other | Simple,513,0.21637426900584794,14.690350877192982,11.75
insurance_x_severity,private | Complex,2670,0.4198501872659176,8.217734082397003,6.25
insurance_x_severity,private | Moderate,389,0.3496143958868895,11.09254498714653,7.75
insurance_x_severity,private | Simple,3440,0.1875,14.143662790697674,11.0
insurance_x_severity,uninsured | Complex,551,0.2776769509981851,7.1566243194192385,4.2
insurance_x_severity,uninsured | Moderate,88,0.17045454545454544,8.813068181818181,5.625
insurance_x_severity,uninsured | Simple,683,0.09809663250366032,12.230673499267935,8.75
